source,target,edge_weight
510,113,1
113,510,1
52,113,2
123,52,1
109,113,2
52,259,1
260,52,1
197,52,1
52,197,1
52,512,1
512,52,1
273,52,1
550,52,1
105,52,1
579,553,1
555,639,1
171,567,1
108,640,1
108,361,8
629,63,1
641,629,1
629,476,1
629,361,4
561,629,1
108,297,1
629,297,1
646,629,1
626,850,1
626,373,1
277,850,2
277,373,1
277,626,1
277,361,2
629,277,2
608,850,1
277,629,1
364,621,1
171,361,1
512,850,1
195,850,1
501,634,1
634,501,1
682,52,1
468,52,2
52,468,1
